prod_link,title,description,initialprice,offerprice,rating,reviews,Image1,Image2,Image3,Image4
"https://www.amazon.in/Bella-Herbs-Liners-Pieces-Verbena/dp/B00JB12W5A/ref=sr_1_16?dchild=1&keywords=personal+hygiene&qid=1590853050&sr=8-16
","['Bella Herbs Panty Liners, 60 Pieces (Verbena)']","['', '', '', 'Imported from Europe', '', 'Bella herbs verbena is unique line of panty liners enriched with the herbal extract of verbena known for its anti - inflammatory properties, it softens irritations and regulates the menstrual cycle', '', 'Gentle lemon scent soothes the senses and relieves nervous tension', '', '100 percent breathability ensures free air circulation and keeps your skin health', '', 'Panty liners recommended for everyday use, but also in case of discharges, spotting between periods, first and last days of period, during pregnancy and with tampons as an additional protection', '', 'Exceptionally soft cover', '', 'Discreet, only 1 mm thick, length x 16 cm; width x 12.5cm', '', '', '', '', '', '', 'Magic gel - panty liners with increased absorbency', '', 'Odour stop protect against unpleasant smell', '', 'Premium line of panty liners manufactured and imported from Europe', '', '', '', 'Show More', '', '', '']", ? 179.00,? 175.00,4.0 out of 5 stars,"2,234 ratings",https://images-na.ssl-images-amazon.com/images/I/41P2voka5lL.jpg,https://images-na.ssl-images-amazon.com/images/I/31PqQZKBSaL.jpg,https://images-na.ssl-images-amazon.com/images/I/41zZ5daulBL.jpg,https://images-na.ssl-images-amazon.com/images/I/41tY4Ax5XiL.jpg
"https://www.amazon.in/Bella-Maxi-Wings-Classic-Sanitary/dp/B072MK4H5R/ref=sr_1_244?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-244
",['Bella Maxi Soft Wings Classic Sanitary Pads - 15 Pieces (Pack of 2)'],"['', '', '', 'Air breathability ensures proper air circulation for comfort and protection against skin irritations', '', 'Leakage stop barriers innovative liquid distribution effectively protects from side leakages', '', 'Comfort cushion soft absorbent part of a napkin located in its centre provides feeling of softness and fast absorption', '', 'Extra protective zone extended back part of maxi pads assures additional security during night time and heavy menstrual flow', '', 'Softi delicate non woven top sheet provides a great feeling of softness', '', 'Recommended for sensitive skin', '', 'We support Bella training programme educational platform to increase the knowledge about women health and hygiene in India', '', '', '', '']", ? 176.00,? 171.00,4.3 out of 5 stars,322 ratings,https://images-na.ssl-images-amazon.com/images/I/41CYON%2BRJBL.jpg,https://images-na.ssl-images-amazon.com/images/I/41tY4Ax5XiL.jpg,https://images-na.ssl-images-amazon.com/images/I/418cHbhFp8L.jpg,https://images-na.ssl-images-amazon.com/images/I/41gyftDsICL.jpg
"https://www.amazon.in/Bella-Panty-Classic-Liners-Pieces/dp/B00DBXB4TO/ref=sr_1_100?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-100
",['Bella Panty Soft Classic Liners (60 Pieces)'],"['', '', '', 'Imported from Europe', '', 'All Bella panty liners are breathable, 100 percent air circulation ensures the feeling of freshness, dryness and protection against rashes and irritations', '', 'Soft nonwoven cover, exceptionally delicate and pleasant for the skin', '', 'Anatomical shape and just 3 mm thickness ensure discreet protection', '', 'Latex free construction minimizes the risk of allergic reactions', '', 'Dermatologically tested', '', 'Value pack of 50 pieces with 10 pieces free', '', 'We support bella training programme, educational platform to increase the knowledge about women health and hygiene in India', '', '', '', '']", ? 160.00,? 157.00,3.9 out of 5 stars,984 ratings,https://images-na.ssl-images-amazon.com/images/I/41S0sSblLxL.jpg,https://images-na.ssl-images-amazon.com/images/I/51JdwJaOdKL.jpg,https://images-na.ssl-images-amazon.com/images/I/51GW4Ze3eCL.jpg,https://images-na.ssl-images-amazon.com/images/I/414H5Hy8iaL.jpg
"https://www.amazon.in/Bella-Tampo-Super-Easy-Twist/dp/B00JDI3C8C/ref=sr_1_147?dchild=1&keywords=personal+hygiene&qid=1590853052&sr=8-147
",[],[],,,,,,,,
"https://www.amazon.in/Betty-Crocker-Pancake-Original-500g/dp/B00LJWEXD8/ref=sr_1_183?dchild=1&keywords=healthy+foods&qid=1592121377&sr=8-183
","['Betty Crocker Complete Pancake Mix,Original 500g']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Make light fluffy American Style Pancakes at home', '', 'Ideal breakfast with butter and Honey/Maple syrup', '', 'Just add water and cook', '', 'Preparation time: 5 minutes', '', 'Made with: Frying pan', '', 'Makes 22-24 pancakes', '', '100 percent veg ingredients in pack', '', '', '', '']",,,4.1 out of 5 stars,745 ratings,https://images-na.ssl-images-amazon.com/images/I/51grEZlPrJL.jpg,"https://images-na.ssl-images-amazon.com/images/I/51TeL0HURXLBG85,85,85_BR-120_.jpg",https://images-na.ssl-images-amazon.com/images/I/51Svf7vfAZL.jpg,https://images-na.ssl-images-amazon.com/images/I/51Xojh1hwBL.jpg
"https://www.amazon.in/Bigmuscles-Nutrition-Glutamine-Preservatives-Unflavored/dp/B07YNLQCKL/ref=sr_1_96?dchild=1&keywords=nutrition&qid=1590855309&sr=8-96
","['Bigmuscles Nutrition Crude Isolate 1kg, Whey Protein Isolate with Whey Peptides, 26g Protein, 0g Sugar, 1g Added Leucine, 5.5g BCAA, 4g Glutamine, No Preservatives, Unflavored']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'UNIQUE FORMULATION: Crude Isolate is an advanced formulation featuring 26g Protein per serving with Whey Peptides. A new generation of Whey Protein Isolate blend offering superior quality, enhanced functionality, and maximum performance.', '', 'OBJECTIVES: Rich source of protein designed for Optimal Recovery, Muscle Build and Muscle Retention. Promote Muscle Building-Gain Lean Muscles Like Never Before. Ideal for an Intense workout as It boosts Recovery and Reduces Muscle Soreness, Zero sugar per serving', '', '100% CLEAN PROTEIN: Manufactured from Protein Sourced from USA, Crude Isolate contains 0g Sugar, No Added Soy, No Preservatives, No Artifical Digestive Enzymes and is 100% Banned Substance Dope Free', '', ""MUSCLE BUILDING BLEND: By combining the absolute finest ingredients with a series of highly specialized processing techniques, each serving of Crude Isolate brings 4g Glutamine, 5.5g BCAA's, 1G Added Leucine to provide your body with the extra edge required to take your workout to next level."", '', 'UN-FLAVOURED: Delicious creamy and neutral taste. Perfect as an workout shake, to make delicious smoothies or as an addition to your breakfast or in between snack. Un-flavoured Whey Isolate gives you the freedom of consuming it the way you love it.', '', 'Added 1g Leucine: Formulation features 1g added leucine, ad leucine has a key role in hormone control, stabilising blood glucose levels, preventing muscle protein breakdown and facilitating muscle protein synthesis', '', 'USAGE: Easy to Digest Crude Isolate with great mixability can be consumed before breakfast, pre-workout and post workout. Allergens: Contains Milk', '', '', '', '']"," ? 1,799.00","? 1,049.00",3.7 out of 5 stars,587 ratings,https://images-na.ssl-images-amazon.com/images/I/418ZCJ1c6PL.jpg,https://images-na.ssl-images-amazon.com/images/I/51rJrKoGhfL.jpg,https://images-na.ssl-images-amazon.com/images/I/51NT2MsI1RL.jpg,https://images-na.ssl-images-amazon.com/images/I/51JQC1owzAL.jpg
"https://www.amazon.in/Bigmuscles-Nutrition-Protein-Concentrate-Glutamine/dp/B07VJX85MY/ref=sr_1_29?dchild=1&keywords=nutrition&qid=1590855307&sr=8-29
","['Bigmuscles Nutrition Crude Whey 1kg, Whey Protein Concentrate 80%, 24g Protein, 5.5g BCAA, 4 g Glutamine']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Unflavored premium whey protein concentrate sourced from glanbia nutritionals U. S. A', '', '24G of protein per serving, 4g of glutamine per serving and 5. 5G of BCAA per serving', '', 'Zero sugar per serving, The trans fat is only 0.02 grams per serving', '', 'No soy added', '', 'Preservative free', '', 'Added 2g Maltodextrin (carbohydrates) per serving that results in better digestion & smooth shake', '', 'No artificial enzymes added, only natural carbs to support digestion', '', '', '', '']"," ? 1,299.00",? 786.00,3.7 out of 5 stars,"3,535 ratings",https://images-na.ssl-images-amazon.com/images/I/41lDJGQhEfL.jpg,https://images-na.ssl-images-amazon.com/images/I/31J-WxWGWtL.jpg,https://images-na.ssl-images-amazon.com/images/I/51YPCPAOesL.jpg,https://images-na.ssl-images-amazon.com/images/I/51%2BSqHHQ22L.jpg
"https://www.amazon.in/Bigmuscles-Nutrition-Servings-Micronized-Endurance/dp/B07RLXT3JZ/ref=sr_1_40?crid=1NTDY3EZF5REZ&dchild=1&keywords=supplement&qid=1590854410&sprefix=suppl%2Caps%2C307&sr=8-40
","['Bigmuscles Nutrition Real BCAA [50 Servings, Summer Bonanza] -100% Micronized Vegan, Muscle Recovery & Endurance BCAA Powder, 5 Grams of Amino Acids, Keto Friendly, Caffeine Free']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Amino Acid Interfusion: 5g of 100% vegan micronized amino acids per serving', '', 'Muscle Recovery: Amino acids supports Muscle Recovery following exercise', '', 'Muscle Endurance: Push harder during training with the inclusion of BCAAs to the formula which can help take your performance to the next level', '', 'Supports Lean Muscle Mass: REAL BCAA intra-workout powder promotes muscle development and maintenance while supporting lean muscle mass and reducing muscle breakdown.', '', 'Convenient Powder Form: Real BCAA powder mixes easily with water and contains zero calories, zero carbohydrates, and zero grams of sugar.', '', 'Banned Substance Tested: Athletes can be assured it has undergone rigorous checks and testing to ensure that it is not contaminated with banned substances and is safe to use', '', '0g calories per serving', '', '', '', '']"," ? 1,229.00",? 737.00,3.8 out of 5 stars,"1,128 ratings",https://images-na.ssl-images-amazon.com/images/I/51x2dLu2c2L.jpg,https://images-na.ssl-images-amazon.com/images/I/31J-WxWGWtL.jpg,https://images-na.ssl-images-amazon.com/images/I/41NN2EMTAaL.jpg,https://images-na.ssl-images-amazon.com/images/I/51fnJVP5LNL.jpg
"https://www.amazon.in/Bigmuscles-Nutrition-Chocolate-Carbohydrates-Calories/dp/B07X8FWFMB/ref=sr_1_30?dchild=1&keywords=nutrition&qid=1590855307&sr=8-30
","['Bigmuscles Nutrition Real Mass Gainer [1Kg, Chocolate], Lean Whey Protein Muscle Mass Gainer, Complex Carbohydrates,1000 Calories per serving,13 Servings']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'MAXIMUM NUTRITION: 50g (approx.) of Protein from 5 sources, 160g of good Complex Carbs, 1000 Calories, 7500 mg of BCAAs (branched-chain amino acids) along with 3000 mg of glutamine per 3 serving.', '', 'CLEAN PROTEIN: All-Natural Whey and Milk Protein provides your body with healthy Amino Acids to keep protein synthesis up throughout the day.', '', 'PROTEIN SHAKES AND RECIPES: Delicious Chocolate muscle mass gainer is versatile in making protein shakes, smoothies and recipes. Boost calories and nutrition by adding real mass gainer with protein bars, cookies and other recipes. Instantized to mix up quickly, fully and easily.', '', 'SUITABILITY: Recommended for All Genders- Teenagers, Athletes, Workout Individuals', '', 'IDEAL USAGE: Real Mass Gainer is recommended to be used Between Meals, Post Workout and Before Bed.', '', 'BANNED SUBSTANCE: Mass Gainer is free from all banned Substances- Safe for Sports', '', '', '', '']"," ? 1,199.00",? 659.00,3.6 out of 5 stars,557 ratings,https://images-na.ssl-images-amazon.com/images/I/41lYP7YHmhL.jpg,https://images-na.ssl-images-amazon.com/images/I/2121KNSmEPL.jpg,https://images-na.ssl-images-amazon.com/images/I/51EvNJZh2VL.jpg,https://images-na.ssl-images-amazon.com/images/I/414GJsf43vL.jpg
"https://www.amazon.in/Boost-Health-Energy-Sports-Nutrition/dp/B01GJR3U6S/ref=sr_1_184?dchild=1&keywords=nutrition&qid=1590855309&s=pantry&sr=8-184
","['Boost Health, Energy & Sports Nutrition drink - 500 g Pet Jar']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Nourishing beverage that helps build stamina', '', 'Has nutrients which help in maintenance of optimal bone and muscle strength', '', 'Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6)', '', 'Envita nutrients help transport oxygen more effectively in the body', '', '', '', '']",,? 247.00,4.4 out of 5 stars,"1,085 ratings",https://images-na.ssl-images-amazon.com/images/I/41NqY-0EV1L.jpg,https://images-na.ssl-images-amazon.com/images/I/61fei149t1L.jpg,https://images-na.ssl-images-amazon.com/images/I/51jHE0dMmBL.jpg,https://images-na.ssl-images-amazon.com/images/I/51rqKBf7X3L.jpg
"https://www.amazon.in/Boost-Health-Energy-Sports-Nutrition/dp/B00J3QHWJE/ref=sr_1_230?dchild=1&keywords=nutrition&qid=1590855309&sr=8-230
","['Boost Health, Energy and Sports Nutrition drink - 750 g Refill Pack']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', 'Nourishing beverage that helps build stamina', '', 'Has nutrients which help in maintenance of optimal bone & muscle strength', '', 'Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6)', '', 'Envita nutrients help transport oxygen more effectively in the body', '', '', '', '']",,? 347.00,4.3 out of 5 stars,"1,416 ratings",https://images-na.ssl-images-amazon.com/images/I/51HBXoOJFJL.jpg,https://images-na.ssl-images-amazon.com/images/I/51E8PiORQpL.jpg,https://images-na.ssl-images-amazon.com/images/I/41zfNVM9EkL.jpg,https://images-na.ssl-images-amazon.com/images/I/51w4XsbbK6L.jpg
"https://www.amazon.in/Carbamide-Forte-Multivitamins-Ingredients-Supplement/dp/B07RZ5QK1G/ref=sr_1_39?crid=1NTDY3EZF5REZ&dchild=1&keywords=supplement&qid=1590854410&sprefix=suppl%2Caps%2C307&sr=8-39
","['Carbamide Forte Biotin 10,000mcg with Multivitamin, Keratin & Bamboo-90 Tablets']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', '? MAX STRENGTH BIOTIN 10,000 mcg IMPROVES HAIR VOLUME – Our High Potency Biotin for women & men helps support faster hair growth, increases hair volume and makes hair stronger from the roots.', '', '? 42 INGREDIENTS MULTIVITAMIN FOR WOMEN & MEN – This complete Hair & Skin Supplement with multivitamins gives you a 2 in 1 advantage that helps Boost Energy, Immunity & Vitality.', '', '? KERATIN & AMINO ACIDS HELP REPAIR HAIR DAMAGE - Keratin helps reduce dryness of hair and helps repair hair damage. Improves elasticity of hair and helps reduce split ends. Amino Acids help in Keratin production.', '', '? BAMBOO EXTRACT & VITAMINS PROMOTE GLOWING SKIN- Bamboo Extract , Vitamin A, C & E in our blend promote and maintain healthy skin tissue by giving it a glow, making your skin smooth and keeping it radiant. Bamboo Extract also prevents hair thinning.', '', '? SHINY, LUSTROUS HAIR & NAIL STRENGTH- Keratin & Grape Seed Extract give extra shine & Luster to hair. Biotin & Keratin also help strengthen the nail cuticles, prevent breakage leading to less brittle nails.', '', '', '', '']",,,3.9 out of 5 stars,370 ratings,https://images-na.ssl-images-amazon.com/images/I/31OxjmGG5RL.jpg,https://images-na.ssl-images-amazon.com/images/I/518Vl9gxR0L.jpg,https://images-na.ssl-images-amazon.com/images/I/51b6jfxFN3L.jpg,https://images-na.ssl-images-amazon.com/images/I/51e76O6TPDL.jpg
"https://www.amazon.in/Carbamide-Forte-Chelated-Vitamin-Supplement/dp/B07NRLK2SB/ref=sr_1_26?crid=1NTDY3EZF5REZ&dchild=1&keywords=supplement&qid=1590854410&sprefix=suppl%2Caps%2C307&sr=8-26
","['Carbamide Forte Chelated Iron with Vitamin C, B12, Folic Acid & Zn – 100 Tablets']","['', '', '', '', '', '', '', '', '', 'This is a ', 'Vegetarian', ' product.', '', '', '', '? MORE ENERGY, LESS FATIGUE, FEEL REJUVENATED : Our iron tablets for women & men ensures optimal iron levels critical for Energy & Cognitive Function, Strong Immune System, Reproductive Health and Red Blood Cell Formation – the complete blood builder!', '', '? FAST ACTING, QUICK RESULTS : Clinically proven to be Highly Absorbable, our Chelate Iron Supplement contains the best iron: Ferrous Bisglycinate coupled with Vitamin C, Zinc, B12 plus Folic Acid. These ingredients help red blood cell formation and ensure faster acting results. Ideal for women, men, prenatal, post-operative, or teenagers who maybe low in iron or suffer from anemia.', '', '? GENTLE ON THE STOMACH, NO TUMMY UPSETS, NAUSEA, CONSTIPATION OR DIARRHOEA : Our Natural Iron Chelate (Ferrous Glycinate) has been specifically formulated to reduce the incidence of stomach upsets and diarrhoea', '', '? EASY TO SWALLOW, NO BAD AFTERTASTE : This small capsule has been moulded to ensure its effortless to swallow without any lingering aftertaste! SWALLOW, NO BAD AFTERTASTE– This Small and Easy to Swallow capsule has been specifically designed to make it effortless to take and doesn’t leave you with any lingering aftertaste!', '', '? 100% VEGETARIAN & GMP Manufactured  : Our Iron Supplement is manufactured in an ISO approved and GMP certified facility. It is 100% Vegetarian, Gluten Free, NON-GMO, Dairy Free, Soy Free & Paraben Free.', '', '', '', '']", ? 850.00,? 449.00,4.2 out of 5 stars,364 ratings,https://images-na.ssl-images-amazon.com/images/I/4190heBHLIL.jpg,https://images-na.ssl-images-amazon.com/images/I/51eJPMy0HQL.jpg,https://images-na.ssl-images-amazon.com/images/I/51tR5NE54wL.jpg,https://images-na.ssl-images-amazon.com/images/I/51YnaH-IcPL.jpg
